current_grade,desired_grade,studytime,failures,absences,success
13,19,3,0,8,0
13,20,3,0,8,0
12,13,1,0,4,0
12,14,1,0,4,0
12,15,1,0,4,0
12,16,1,0,4,0
12,17,1,0,4,0
12,18,1,0,4,0
12,19,1,0,4,0
12,20,1,0,4,0
9,10,2,0,0,0
9,11,2,0,0,0
9,12,2,0,0,0
9,13,2,0,0,0
9,14,2,0,0,0
9,15,2,0,0,0
9,16,2,0,0,0
9,17,2,0,0,0
9,18,2,0,0,0
9,19,2,0,0,0
9,20,2,0,0,0
8,9,2,0,10,0
8,10,2,0,10,0
8,11,2,0,10,0
8,12,2,0,10,0
8,13,2,0,10,0
8,14,2,0,10,0
8,15,2,0,10,0
8,16,2,0,10,0
8,17,2,0,10,0
8,18,2,0,10,0
8,19,2,0,10,0
8,20,2,0,10,0
13,14,4,0,0,1
13,15,4,0,0,0
13,16,4,0,0,0
13,17,4,0,0,0
13,18,4,0,0,0
13,19,4,0,0,0
13,20,4,0,0,0
15,16,1,0,5,1
15,17,1,0,5,0
15,18,1,0,5,0
15,19,1,0,5,0
15,20,1,0,5,0
10,11,2,0,14,1
10,12,2,0,14,0
10,13,2,0,14,0
10,14,2,0,14,0
10,15,2,0,14,0
10,16,2,0,14,0
10,17,2,0,14,0
10,18,2,0,14,0
10,19,2,0,14,0
10,20,2,0,14,0
11,12,1,0,0,0
11,13,1,0,0,0
11,14,1,0,0,0
11,15,1,0,0,0
11,16,1,0,0,0
11,17,1,0,0,0
11,18,1,0,0,0
11,19,1,0,0,0
11,20,1,0,0,0
12,13,3,0,0,1
12,14,3,0,0,1
12,15,3,0,0,0
12,16,3,0,0,0
12,17,3,0,0,0
12,18,3,0,0,0
12,19,3,0,0,0
12,20,3,0,0,0
17,18,4,0,0,1
17,19,4,0,0,0
17,20,4,0,0,0
14,15,2,1,20,0
14,16,2,1,20,0
14,17,2,1,20,0
14,18,2,1,20,0
14,19,2,1,20,0
14,20,2,1,20,0
12,13,2,1,8,0
12,14,2,1,8,0
12,15,2,1,8,0
12,16,2,1,8,0
12,17,2,1,8,0
12,18,2,1,8,0
12,19,2,1,8,0
12,20,2,1,8,0
18,19,1,0,0,0
18,20,1,0,0,0
9,10,1,1,38,0
9,11,1,1,38,0
9,12,1,1,38,0
9,13,1,1,38,0
9,14,1,1,38,0
9,15,1,1,38,0
9,16,1,1,38,0
9,17,1,1,38,0
9,18,1,1,38,0
9,19,1,1,38,0
9,20,1,1,38,0
12,13,2,1,0,0
12,14,2,1,0,0
12,15,2,1,0,0
12,16,2,1,0,0
12,17,2,1,0,0
12,18,2,1,0,0
12,19,2,1,0,0
12,20,2,1,0,0
10,11,2,1,18,0
10,12,2,1,18,0
10,13,2,1,18,0
10,14,2,1,18,0
10,15,2,1,18,0
10,16,2,1,18,0
10,17,2,1,18,0
10,18,2,1,18,0
10,19,2,1,18,0
10,20,2,1,18,0
9,10,2,1,0,0
9,11,2,1,0,0
9,12,2,1,0,0
9,13,2,1,0,0
9,14,2,1,0,0
9,15,2,1,0,0
9,16,2,1,0,0
9,17,2,1,0,0
9,18,2,1,0,0
9,19,2,1,0,0
9,20,2,1,0,0
12,13,2,0,20,1
12,14,2,0,20,0
12,15,2,0,20,0
12,16,2,0,20,0
12,17,2,0,20,0
12,18,2,0,20,0
12,19,2,0,20,0
12,20,2,0,20,0
11,12,2,1,3,0
11,13,2,1,3,0
11,14,2,1,3,0
11,15,2,1,3,0
11,16,2,1,3,0
11,17,2,1,3,0
11,18,2,1,3,0
11,19,2,1,3,0
11,20,2,1,3,0
10,11,2,1,22,1
10,12,2,1,22,0
10,13,2,1,22,0
10,14,2,1,22,0
10,15,2,1,22,0
10,16,2,1,22,0
10,17,2,1,22,0
10,18,2,1,22,0
10,19,2,1,22,0
10,20,2,1,22,0
13,14,3,2,14,0
13,15,3,2,14,0
13,16,3,2,14,0
13,17,3,2,14,0
13,18,3,2,14,0
13,19,3,2,14,0
13,20,3,2,14,0
11,12,3,1,40,0
11,13,3,1,40,0
11,14,3,1,40,0
11,15,3,1,40,0
11,16,3,1,40,0
11,17,3,1,40,0
11,18,3,1,40,0
11,19,3,1,40,0
11,20,3,1,40,0
8,9,2,0,0,0
8,10,2,0,0,0
8,11,2,0,0,0
8,12,2,0,0,0
8,13,2,0,0,0
8,14,2,0,0,0
8,15,2,0,0,0
8,16,2,0,0,0
8,17,2,0,0,0
8,18,2,0,0,0
8,19,2,0,0,0
8,20,2,0,0,0
10,11,3,0,9,0
10,12,3,0,9,0
10,13,3,0,9,0
10,14,3,0,9,0
10,15,3,0,9,0
10,16,3,0,9,0
10,17,3,0,9,0
10,18,3,0,9,0
10,19,3,0,9,0
10,20,3,0,9,0
11,12,3,0,0,0
11,13,3,0,0,0
11,14,3,0,0,0
11,15,3,0,0,0
11,16,3,0,0,0
11,17,3,0,0,0
11,18,3,0,0,0
11,19,3,0,0,0
11,20,3,0,0,0
11,12,2,0,2,0
11,13,2,0,2,0
11,14,2,0,2,0
11,15,2,0,2,0
11,16,2,0,2,0
11,17,2,0,2,0
11,18,2,0,2,0
11,19,2,0,2,0
11,20,2,0,2,0
13,14,2,0,23,0
13,15,2,0,23,0
13,16,2,0,23,0
13,17,2,0,23,0
13,18,2,0,23,0
13,19,2,0,23,0
13,20,2,0,23,0
9,10,2,0,12,0
9,11,2,0,12,0
9,12,2,0,12,0
9,13,2,0,12,0
9,14,2,0,12,0
9,15,2,0,12,0
9,16,2,0,12,0
9,17,2,0,12,0
9,18,2,0,12,0
9,19,2,0,12,0
9,20,2,0,12,0
11,12,3,0,3,0
11,13,3,0,3,0
11,14,3,0,3,0
11,15,3,0,3,0
11,16,3,0,3,0
11,17,3,0,3,0
11,18,3,0,3,0
11,19,3,0,3,0
11,20,3,0,3,0
14,15,3,0,1,1
14,16,3,0,1,0
14,17,3,0,1,0
14,18,3,0,1,0
14,19,3,0,1,0
14,20,3,0,1,0
15,16,3,0,0,0
15,17,3,0,0,0
15,18,3,0,0,0
15,19,3,0,0,0
15,20,3,0,0,0
12,13,3,0,3,0
12,14,3,0,3,0
12,15,3,0,3,0
12,16,3,0,3,0
12,17,3,0,3,0
12,18,3,0,3,0
12,19,3,0,3,0
12,20,3,0,3,0
15,16,1,0,3,1
15,17,1,0,3,0
15,18,1,0,3,0
15,19,1,0,3,0
15,20,1,0,3,0
10,11,1,0,8,0
10,12,1,0,8,0
10,13,1,0,8,0
10,14,1,0,8,0
10,15,1,0,8,0
10,16,1,0,8,0
10,17,1,0,8,0
10,18,1,0,8,0
10,19,1,0,8,0
10,20,1,0,8,0
9,10,3,0,7,0
9,11,3,0,7,0
9,12,3,0,7,0
9,13,3,0,7,0
9,14,3,0,7,0
9,15,3,0,7,0
9,16,3,0,7,0
9,17,3,0,7,0
9,18,3,0,7,0
9,19,3,0,7,0
9,20,3,0,7,0
14,15,3,0,4,0
14,16,3,0,4,0
14,17,3,0,4,0
14,18,3,0,4,0
14,19,3,0,4,0
14,20,3,0,4,0
8,9,4,0,2,0
8,10,4,0,2,0
8,11,4,0,2,0
8,12,4,0,2,0
8,13,4,0,2,0
8,14,4,0,2,0
8,15,4,0,2,0
8,16,4,0,2,0
8,17,4,0,2,0
8,18,4,0,2,0
8,19,4,0,2,0
8,20,4,0,2,0
14,15,3,0,7,0
14,16,3,0,7,0
14,17,3,0,7,0
14,18,3,0,7,0
14,19,3,0,7,0
14,20,3,0,7,0
0,1,2,0,0,0
0,2,2,0,0,0
0,3,2,0,0,0
0,4,2,0,0,0
0,5,2,0,0,0
0,6,2,0,0,0
0,7,2,0,0,0
0,8,2,0,0,0
0,9,2,0,0,0
0,10,2,0,0,0
0,11,2,0,0,0
0,12,2,0,0,0
0,13,2,0,0,0
0,14,2,0,0,0
0,15,2,0,0,0
0,16,2,0,0,0
0,17,2,0,0,0
0,18,2,0,0,0
0,19,2,0,0,0
0,20,2,0,0,0
8,9,2,0,0,0
8,10,2,0,0,0
8,11,2,0,0,0
8,12,2,0,0,0
8,13,2,0,0,0
8,14,2,0,0,0
8,15,2,0,0,0
8,16,2,0,0,0
8,17,2,0,0,0
8,18,2,0,0,0
8,19,2,0,0,0
8,20,2,0,0,0
9,10,4,0,0,0
9,11,4,0,0,0
9,12,4,0,0,0
9,13,4,0,0,0
9,14,4,0,0,0
9,15,4,0,0,0
9,16,4,0,0,0
9,17,4,0,0,0
9,18,4,0,0,0
9,19,4,0,0,0
9,20,4,0,0,0
15,16,3,0,16,0
15,17,3,0,16,0
15,18,3,0,16,0
15,19,3,0,16,0
15,20,3,0,16,0
13,14,3,1,12,0
13,15,3,1,12,0
13,16,3,1,12,0
13,17,3,1,12,0
13,18,3,1,12,0
13,19,3,1,12,0
13,20,3,1,12,0
8,9,2,0,0,0
8,10,2,0,0,0
8,11,2,0,0,0
8,12,2,0,0,0
8,13,2,0,0,0
8,14,2,0,0,0
8,15,2,0,0,0
8,16,2,0,0,0
8,17,2,0,0,0
8,18,2,0,0,0
8,19,2,0,0,0
8,20,2,0,0,0
15,16,4,0,7,1
15,17,4,0,7,1
15,18,4,0,7,0
15,19,4,0,7,0
15,20,4,0,7,0
10,11,2,0,4,0
10,12,2,0,4,0
10,13,2,0,4,0
10,14,2,0,4,0
10,15,2,0,4,0
10,16,2,0,4,0
10,17,2,0,4,0
10,18,2,0,4,0
10,19,2,0,4,0
10,20,2,0,4,0
12,13,3,1,4,0
12,14,3,1,4,0
12,15,3,1,4,0
12,16,3,1,4,0
12,17,3,1,4,0
12,18,3,1,4,0
12,19,3,1,4,0
12,20,3,1,4,0
10,11,2,1,0,0
10,12,2,1,0,0
10,13,2,1,0,0
10,14,2,1,0,0
10,15,2,1,0,0
10,16,2,1,0,0
10,17,2,1,0,0
10,18,2,1,0,0
10,19,2,1,0,0
10,20,2,1,0,0
15,16,2,0,11,0
15,17,2,0,11,0
15,18,2,0,11,0
15,19,2,0,11,0
15,20,2,0,11,0
8,9,2,1,0,0
8,10,2,1,0,0
8,11,2,1,0,0
8,12,2,1,0,0
8,13,2,1,0,0
8,14,2,1,0,0
8,15,2,1,0,0
8,16,2,1,0,0
8,17,2,1,0,0
8,18,2,1,0,0
8,19,2,1,0,0
8,20,2,1,0,0
10,11,3,0,4,0
10,12,3,0,4,0
10,13,3,0,4,0
10,14,3,0,4,0
10,15,3,0,4,0
10,16,3,0,4,0
10,17,3,0,4,0
10,18,3,0,4,0
10,19,3,0,4,0
10,20,3,0,4,0
13,14,3,0,7,1
13,15,3,0,7,0
13,16,3,0,7,0
13,17,3,0,7,0
13,18,3,0,7,0
13,19,3,0,7,0
13,20,3,0,7,0
15,16,3,0,9,1
15,17,3,0,9,0
15,18,3,0,9,0
15,19,3,0,9,0
15,20,3,0,9,0
10,11,3,0,0,0
10,12,3,0,0,0
10,13,3,0,0,0
10,14,3,0,0,0
10,15,3,0,0,0
10,16,3,0,0,0
10,17,3,0,0,0
10,18,3,0,0,0
10,19,3,0,0,0
10,20,3,0,0,0
15,16,3,0,0,0
15,17,3,0,0,0
15,18,3,0,0,0
15,19,3,0,0,0
15,20,3,0,0,0
13,14,1,1,10,0
13,15,1,1,10,0
13,16,1,1,10,0
13,17,1,1,10,0
13,18,1,1,10,0
13,19,1,1,10,0
13,20,1,1,10,0
7,8,2,3,8,1
7,9,2,3,8,0
7,10,2,3,8,0
7,11,2,3,8,0
7,12,2,3,8,0
7,13,2,3,8,0
7,14,2,3,8,0
7,15,2,3,8,0
7,16,2,3,8,0
7,17,2,3,8,0
7,18,2,3,8,0
7,19,2,3,8,0
7,20,2,3,8,0
13,14,2,0,2,0
13,15,2,0,2,0
13,16,2,0,2,0
13,17,2,0,2,0
13,18,2,0,2,0
13,19,2,0,2,0
13,20,2,0,2,0
7,8,1,1,7,1
7,9,1,1,7,0
7,10,1,1,7,0
7,11,1,1,7,0
7,12,1,1,7,0
7,13,1,1,7,0
7,14,1,1,7,0
7,15,1,1,7,0
7,16,1,1,7,0
7,17,1,1,7,0
7,18,1,1,7,0
7,19,1,1,7,0
7,20,1,1,7,0
8,9,1,1,4,0
8,10,1,1,4,0
8,11,1,1,4,0
8,12,1,1,4,0
8,13,1,1,4,0
8,14,1,1,4,0
8,15,1,1,4,0
8,16,1,1,4,0
8,17,1,1,4,0
8,18,1,1,4,0
8,19,1,1,4,0
8,20,1,1,4,0
11,12,2,0,4,0
11,13,2,0,4,0
11,14,2,0,4,0
11,15,2,0,4,0
11,16,2,0,4,0
11,17,2,0,4,0
11,18,2,0,4,0
11,19,2,0,4,0
11,20,2,0,4,0
9,10,2,0,0,0
9,11,2,0,0,0
9,12,2,0,0,0
9,13,2,0,0,0
9,14,2,0,0,0
9,15,2,0,0,0
9,16,2,0,0,0
9,17,2,0,0,0
9,18,2,0,0,0
9,19,2,0,0,0
9,20,2,0,0,0
13,14,2,0,4,0
13,15,2,0,4,0
13,16,2,0,4,0
13,17,2,0,4,0
13,18,2,0,4,0
13,19,2,0,4,0
13,20,2,0,4,0
12,13,2,0,2,0
12,14,2,0,2,0
12,15,2,0,2,0
12,16,2,0,2,0
12,17,2,0,2,0
12,18,2,0,2,0
12,19,2,0,2,0
12,20,2,0,2,0
10,11,1,0,4,0
10,12,1,0,4,0
10,13,1,0,4,0
10,14,1,0,4,0
10,15,1,0,4,0
10,16,1,0,4,0
10,17,1,0,4,0
10,18,1,0,4,0
10,19,1,0,4,0
10,20,1,0,4,0
16,17,3,0,0,0
16,18,3,0,0,0
16,19,3,0,0,0
16,20,3,0,0,0
13,14,2,0,0,0
13,15,2,0,0,0
13,16,2,0,0,0
13,17,2,0,0,0
13,18,2,0,0,0
13,19,2,0,0,0
13,20,2,0,0,0
12,13,2,1,2,0
12,14,2,1,2,0
12,15,2,1,2,0
12,16,2,1,2,0
12,17,2,1,2,0
12,18,2,1,2,0
12,19,2,1,2,0
12,20,2,1,2,0
11,12,2,0,0,0
11,13,2,0,0,0
11,14,2,0,0,0
11,15,2,0,0,0
11,16,2,0,0,0
11,17,2,0,0,0
11,18,2,0,0,0
11,19,2,0,0,0
11,20,2,0,0,0
15,16,2,0,0,0
15,17,2,0,0,0
15,18,2,0,0,0
15,19,2,0,0,0
15,20,2,0,0,0
11,12,2,0,0,1
11,13,2,0,0,0
11,14,2,0,0,0
11,15,2,0,0,0
11,16,2,0,0,0
11,17,2,0,0,0
11,18,2,0,0,0
11,19,2,0,0,0
11,20,2,0,0,0
10,11,2,0,4,0
10,12,2,0,4,0
10,13,2,0,4,0
10,14,2,0,4,0
10,15,2,0,4,0
10,16,2,0,4,0
10,17,2,0,4,0
10,18,2,0,4,0
10,19,2,0,4,0
10,20,2,0,4,0
13,14,3,0,0,0
13,15,3,0,0,0
13,16,3,0,0,0
13,17,3,0,0,0
13,18,3,0,0,0
13,19,3,0,0,0
13,20,3,0,0,0
6,7,1,1,0,0
6,8,1,1,0,0
6,9,1,1,0,0
6,10,1,1,0,0
6,11,1,1,0,0
6,12,1,1,0,0
6,13,1,1,0,0
6,14,1,1,0,0
6,15,1,1,0,0
6,16,1,1,0,0
6,17,1,1,0,0
6,18,1,1,0,0
6,19,1,1,0,0
6,20,1,1,0,0
10,11,1,0,0,0
10,12,1,0,0,0
10,13,1,0,0,0
10,14,1,0,0,0
10,15,1,0,0,0
10,16,1,0,0,0
10,17,1,0,0,0
10,18,1,0,0,0
10,19,1,0,0,0
10,20,1,0,0,0
12,13,2,0,10,0
12,14,2,0,10,0
12,15,2,0,10,0
12,16,2,0,10,0
12,17,2,0,10,0
12,18,2,0,10,0
12,19,2,0,10,0
12,20,2,0,10,0
7,8,2,2,4,1
7,9,2,2,4,1
7,10,2,2,4,0
7,11,2,2,4,0
7,12,2,2,4,0
7,13,2,2,4,0
7,14,2,2,4,0
7,15,2,2,4,0
7,16,2,2,4,0
7,17,2,2,4,0
7,18,2,2,4,0
7,19,2,2,4,0
7,20,2,2,4,0
12,13,1,0,3,0
12,14,1,0,3,0
12,15,1,0,3,0
12,16,1,0,3,0
12,17,1,0,3,0
12,18,1,0,3,0
12,19,1,0,3,0
12,20,1,0,3,0
11,12,3,0,8,0
11,13,3,0,8,0
11,14,3,0,8,0
11,15,3,0,8,0
11,16,3,0,8,0
11,17,3,0,8,0
11,18,3,0,8,0
11,19,3,0,8,0
11,20,3,0,8,0
5,6,1,0,14,0
5,7,1,0,14,0
5,8,1,0,14,0
5,9,1,0,14,0
5,10,1,0,14,0
5,11,1,0,14,0
5,12,1,0,14,0
5,13,1,0,14,0
5,14,1,0,14,0
5,15,1,0,14,0
5,16,1,0,14,0
5,17,1,0,14,0
5,18,1,0,14,0
5,19,1,0,14,0
5,20,1,0,14,0
18,19,3,0,0,1
18,20,3,0,0,0
8,9,3,0,2,1
8,10,3,0,2,1
8,11,3,0,2,0
8,12,3,0,2,0
8,13,3,0,2,0
8,14,3,0,2,0
8,15,3,0,2,0
8,16,3,0,2,0
8,17,3,0,2,0
8,18,3,0,2,0
8,19,3,0,2,0
8,20,3,0,2,0
14,15,3,2,4,1
14,16,3,2,4,0
14,17,3,2,4,0
14,18,3,2,4,0
14,19,3,2,4,0
14,20,3,2,4,0
9,10,2,0,4,1
9,11,2,0,4,0
9,12,2,0,4,0
9,13,2,0,4,0
9,14,2,0,4,0
9,15,2,0,4,0
9,16,2,0,4,0
9,17,2,0,4,0
9,18,2,0,4,0
9,19,2,0,4,0
9,20,2,0,4,0
15,16,2,0,0,0
15,17,2,0,0,0
15,18,2,0,0,0
15,19,2,0,0,0
15,20,2,0,0,0
10,11,2,0,17,0
10,12,2,0,17,0
10,13,2,0,17,0
10,14,2,0,17,0
10,15,2,0,17,0
10,16,2,0,17,0
10,17,2,0,17,0
10,18,2,0,17,0
10,19,2,0,17,0
10,20,2,0,17,0
14,15,2,0,4,0
14,16,2,0,4,0
14,17,2,0,4,0
14,18,2,0,4,0
14,19,2,0,4,0
14,20,2,0,4,0
6,7,1,0,5,1
6,8,1,0,5,0
6,9,1,0,5,0
6,10,1,0,5,0
6,11,1,0,5,0
6,12,1,0,5,0
6,13,1,0,5,0
6,14,1,0,5,0
6,15,1,0,5,0
6,16,1,0,5,0
6,17,1,0,5,0
6,18,1,0,5,0
6,19,1,0,5,0
6,20,1,0,5,0
11,12,2,0,2,0
11,13,2,0,2,0
11,14,2,0,2,0
11,15,2,0,2,0
11,16,2,0,2,0
11,17,2,0,2,0
11,18,2,0,2,0
11,19,2,0,2,0
11,20,2,0,2,0
5,6,1,1,0,0
5,7,1,1,0,0
5,8,1,1,0,0
5,9,1,1,0,0
5,10,1,1,0,0
5,11,1,1,0,0
5,12,1,1,0,0
5,13,1,1,0,0
5,14,1,1,0,0
5,15,1,1,0,0
5,16,1,1,0,0
5,17,1,1,0,0
5,18,1,1,0,0
5,19,1,1,0,0
5,20,1,1,0,0
5,6,1,1,14,0
5,7,1,1,14,0
5,8,1,1,14,0
5,9,1,1,14,0
5,10,1,1,14,0
5,11,1,1,14,0
5,12,1,1,14,0
5,13,1,1,14,0
5,14,1,1,14,0
5,15,1,1,14,0
5,16,1,1,14,0
5,17,1,1,14,0
5,18,1,1,14,0
5,19,1,1,14,0
5,20,1,1,14,0
9,10,3,0,2,1
9,11,3,0,2,0
9,12,3,0,2,0
9,13,3,0,2,0
9,14,3,0,2,0
9,15,3,0,2,0
9,16,3,0,2,0
9,17,3,0,2,0
9,18,3,0,2,0
9,19,3,0,2,0
9,20,3,0,2,0
5,6,1,0,7,1
5,7,1,0,7,0
5,8,1,0,7,0
5,9,1,0,7,0
5,10,1,0,7,0
5,11,1,0,7,0
5,12,1,0,7,0
5,13,1,0,7,0
5,14,1,0,7,0
5,15,1,0,7,0
5,16,1,0,7,0
5,17,1,0,7,0
5,18,1,0,7,0
5,19,1,0,7,0
5,20,1,0,7,0
5,6,3,1,0,0
5,7,3,1,0,0
5,8,3,1,0,0
5,9,3,1,0,0
5,10,3,1,0,0
5,11,3,1,0,0
5,12,3,1,0,0
5,13,3,1,0,0
5,14,3,1,0,0
5,15,3,1,0,0
5,16,3,1,0,0
5,17,3,1,0,0
5,18,3,1,0,0
5,19,3,1,0,0
5,20,3,1,0,0
9,10,2,0,0,0
9,11,2,0,0,0
9,12,2,0,0,0
9,13,2,0,0,0
9,14,2,0,0,0
9,15,2,0,0,0
9,16,2,0,0,0
9,17,2,0,0,0
9,18,2,0,0,0
9,19,2,0,0,0
9,20,2,0,0,0
5,6,2,1,0,0
5,7,2,1,0,0
5,8,2,1,0,0
5,9,2,1,0,0
5,10,2,1,0,0
5,11,2,1,0,0
5,12,2,1,0,0
5,13,2,1,0,0
5,14,2,1,0,0
5,15,2,1,0,0
5,16,2,1,0,0
5,17,2,1,0,0
5,18,2,1,0,0
5,19,2,1,0,0
5,20,2,1,0,0
9,10,2,2,11,0
9,11,2,2,11,0
9,12,2,2,11,0
9,13,2,2,11,0
9,14,2,2,11,0
9,15,2,2,11,0
9,16,2,2,11,0
9,17,2,2,11,0
9,18,2,2,11,0
9,19,2,2,11,0
9,20,2,2,11,0
16,17,1,0,3,0
16,18,1,0,3,0
16,19,1,0,3,0
16,20,1,0,3,0
8,9,1,3,3,0
8,10,1,3,3,0
8,11,1,3,3,0
8,12,1,3,3,0
8,13,1,3,3,0
8,14,1,3,3,0
8,15,1,3,3,0
8,16,1,3,3,0
8,17,1,3,3,0
8,18,1,3,3,0
8,19,1,3,3,0
8,20,1,3,3,0
12,13,1,0,0,0
12,14,1,0,0,0
12,15,1,0,0,0
12,16,1,0,0,0
12,17,1,0,0,0
12,18,1,0,0,0
12,19,1,0,0,0
12,20,1,0,0,0
9,10,1,0,5,0
9,11,1,0,5,0
9,12,1,0,5,0
9,13,1,0,5,0
9,14,1,0,5,0
9,15,1,0,5,0
9,16,1,0,5,0
9,17,1,0,5,0
9,18,1,0,5,0
9,19,1,0,5,0
9,20,1,0,5,0
